"Investor Name","Investor Profile URL","Investor Logo","Number of Funding Rounds","Portfolio Companies","Investor Location","Investor Type","Sectors of Investment","Investor Founded Year","Key People","Portfolio Count","Sectors","Portfolio unicorns","Team members","Linkedin URL","X Profile","Email","Deals in last 12 months"
"Highland Capital Partners","https://platform.tracxn.com/a/d/investor/cZ20LSgAgnsdvZyQsVVZRQv8Exgq3x8xpiEszdKX3Uw/highlandcapitalpartners","https://i.tracxn.com/logo/company/hcp.png1495424744145?devicePixelRatio=1&format=webp&height=14&width=14","459","Scopely, VMware","Menlo Park","VC","Enterprise Applications
Consumer","1987","Jessica Healey","","","","59","","","hi@tracxn.com",""
"Union Square Ventures","https://platform.tracxn.com/a/d/investor/Stp8nXwu3yBbLR8nlVMtXt0FLpp0bFA7wtZVjmo0FOw/unionsquareventures","https://i.tracxn.com/logo/company/Selection_999(733)_1583909392205.png?devicePixelRatio=1&format=webp&height=14&width=14","449","Coinbase, Duolingo","New York City","VC","Enterprise Applications
Consumer","2003","Jared Hecht","","","","83","","","",""
"DCVC","https://platform.tracxn.com/a/d/investor/v-1lTmv5Tr4vlq97_7o2ITYPSCXrymVUjTAX4zYVAdA/dcvc","https://i.tracxn.com/logo/company/dcvc_d0d9ea7c-c344-481f-a516-c535ab0e985b.jpg?devicePixelRatio=1&format=webp&height=14&width=14","446","Facebook, Uber","Palo Alto","VC","Enterprise Applications
High Tech","2011","Matt OConnell","","","","70","","","hi@tracxn.com",""
"Arch Venture Partners","https://platform.tracxn.com/a/d/investor/zaNipkbojKG-U-j397Z3_NbhspXuo2hRbW2D-t_dMsI/archventurepartners","https://i.tracxn.com/logo/company/1_c440beda-1158-45d2-9a03-911d76e93237.png?devicePixelRatio=1&format=webp&height=14&width=14","446","Illumina, Alnylam","Chicago","VC","Life Sciences
High Tech","1986","Kaye Foster","","","","75","","","hi@tracxn.com",""
"Crosslink Capital","https://platform.tracxn.com/a/d/investor/6z1WX2RXl2Iy5XvRhfsfA_lF-A479XbYj1wsnPn_Rg8/crosslinkcapital","https://i.tracxn.com/logo/company/c7_ea7c4305-52cd-4c13-a197-53064e2b3ca4.PNG?devicePixelRatio=1&format=webp&height=14&width=14","432","Coupa, Prosper","San Francisco","VC","Enterprise Applications
Consumer","1989","Maureen Offer","","","","82","","","hi@tracxn.com",""
"Octopus Ventures","https://platform.tracxn.com/a/d/investor/BJFId88NdBIuSJV1odoI_FpuBEL-cfx1qTDlpf3kAaY/octopusventures","https://i.tracxn.com/logo/company/d79729597bb7b24e15aaed5a91385dc?devicePixelRatio=1&format=webp&height=14&width=14","414","The Access Group, Depop","New York City","VC","Enterprise Applications
High Tech","2000","Richard Anson","","","","64","","","hi@tracxn.com",""
"SoftBank Vision Fund","https://platform.tracxn.com/a/d/investor/-o6Ozmf13OpxuhPID5L31uwECa_XJjl63ByB3ZVisC8/softbankvisionfund","https://i.tracxn.com/logo/company/sof_4183cc9e-5cfa-4827-b0f1-877dfb30a92f.png?devicePixelRatio=1&format=webp&height=14&width=14","412","Slack, Uber","San Carlos","VC","Enterprise Applications
Consumer","1990","Rajeev Misra","","","","85","","","hi@tracxn.com",""
"Trinity Ventures","https://platform.tracxn.com/a/d/investor/tJVedARlTrG7aDkuaVwrLcaHVf453q6UPfcZ-cLaJxM/trinityventures","https://i.tracxn.com/logo/company/44b24ab53dd2d0c9b65e5779f6d3051?devicePixelRatio=1&format=webp&height=14&width=14","392","Zulily, Turo","Menlo Park","VC","Enterprise Applications
Consumer","1986","Schwark Satyavolu","","","","76","","","",""
"In-Q-Tel","https://platform.tracxn.com/a/d/investor/woZ8_Qe88LbiJ1O2Wf5p-S3ZNuNiP-kcXnBf46Uh3-w/in-q-tel","https://i.tracxn.com/logo/company/as_9422c6ec-34c2-4162-ab93-f1ab027b1fe0.jpeg?devicePixelRatio=1&format=webp&height=14&width=14","388","Databricks, MongoDB","Arlington","VC","Enterprise Applications
High Tech","1999","Steve Bowsher","","","","86","","","",""
"IVP","https://platform.tracxn.com/a/d/investor/T-4i5zc2Ca8uclBkfuUZ1UV1RKX0lt-GEEDoov7asxA/ivp","https://i.tracxn.com/logo/company/Capture30_1585723208772.PNG?devicePixelRatio=1&format=webp&height=14&width=14","387","Slack, Uber","Menlo Park","VC","Enterprise Applications
Consumer","1980","Tracy Hogan","","","","87","","","hi@tracxn.com",""
"FirstMark","https://platform.tracxn.com/a/d/investor/DfCYtoCfB-spXOmboy_QiO2fwcH7HzDWCqLnCU4I2Jg/firstmark","https://i.tracxn.com/logo/company/FirstMark_5ba702f8-6684-412d-a99b-d78a709c2399.png?devicePixelRatio=1&format=webp&height=14&width=14","384","DraftKings, Shopify","New York City","VC
Incubators","Enterprise Applications
Consumer","1987","Scott Switzer","","","","76","","","hi@tracxn.com",""
"Founder Collective","https://platform.tracxn.com/a/d/investor/MpJvWo8VbK2LPKlO2497fRHp8UXAb_utNhZPCotwT3o/foundercollective","https://i.tracxn.com/logo/company/6_d9d96f8b-44d2-46d3-8e54-5a4b6e0164fd.jpeg?devicePixelRatio=1&format=webp&height=14&width=14","382","Uber, Coupang","Cambridge","VC","Enterprise Applications
Consumer","2009","Noah Glass","","","","74","","","hi@tracxn.com",""
"Shasta Ventures","https://platform.tracxn.com/a/d/investor/KwtVAJG239GSERqnmNy-efz3VdZbyDKZnqNzh-4YfmU/shastaventures","https://i.tracxn.com/logo/company/sfs_b171f106-e633-4bb9-b4dd-eb361c0972eb.png?devicePixelRatio=1&format=webp&height=14&width=14","380","Canva, SentinelOne","Portola Valley","VC","Enterprise Applications
High Tech","2004","Juan Carlos Soto","","","","86","","","hi@tracxn.com",""
"Thrive Capital","https://platform.tracxn.com/a/d/investor/1ToUx6sZYcHEtkaIQHAnmGcvZhOFG8g_dfKHI3ywdYQ/thrivecapital","https://i.tracxn.com/logo/company/AAEAAQAAAAAAAAfoAAAAJDJmYmZmM2FhLTRlZmItNDA0NS1iMTQ5LTg4MGViZDY2MjBkNw.png1495191037369?devicePixelRatio=1&format=webp&height=14&width=14","380","OpenAI, Slack","New York City","VC","Enterprise Applications
Consumer","2009","Anuj Mehndiratta","","","","79","","","hi@tracxn.com",""
"Entrepreneurs Roundtable Accelerator","https://platform.tracxn.com/a/d/investor/WeWPI3bVGHsuoK0OoMLjvkAIo0v49V6lzy81z3QAh9g/entrepreneursroundtableaccelerator","https://i.tracxn.com/logo/company/8dd5b35f8a385258aa32bc7f3076bd2d?devicePixelRatio=1&format=webp&height=14&width=14","379","Katapult, Hyro","New York City","VC
Incubators","Enterprise Applications
Consumer","2011","Brian Hecht","","","","61","","","hi@tracxn.com",""
"Cisco Investments","https://platform.tracxn.com/a/d/investor/HiUlHfnMlfVZ9mM3_5pE0JxykepFu8o5is_gZCQXA-E/ciscoinvestments","https://i.tracxn.com/logo/company/Capture7_1586333116842.PNG?devicePixelRatio=1&format=webp&height=14&width=14","375","Akamai, MobiKwik","San Jose","VC","Enterprise Applications
Enterprise Infrastructure","1993","Tali Roberts","","","","76","","","hi@tracxn.com",""
"Right Side Capital Management","https://platform.tracxn.com/a/d/investor/PhHvmGXfsll3lQbHGAI_uwEFc66VOi9zXOHJJSarkE0/rightsidecapitalmanagement","https://i.tracxn.com/logo/company/rcsm_30fadb3f-5679-4378-be43-77a4363bb58c.png?devicePixelRatio=1&format=webp&height=14&width=14","367","Compass, ClassPass","San Francisco","VC","Enterprise Applications
Consumer","2010","John Eng","","","","60","","","",""
"QED Investors","https://platform.tracxn.com/a/d/investor/LPTUjbfYE-3zVvTAuoP2fEgunxUOm4Gy4f4QZzjUnWc/qedinvestors","https://i.tracxn.com/logo/company/3NloQ6Ls_400x400_876f359c-70aa-44f2-b7a8-cbc04b93f875.jpg?devicePixelRatio=1&format=webp&height=14&width=14","367","Nubank, SoFi","Alexandria","VC","FinTech
Enterprise Applications","2007","Sandeep Patil","","","","80","","","hi@tracxn.com",""
"Entrepreneur First","https://platform.tracxn.com/a/d/investor/IkujcXG2Cqv-_bLooVloppE_ZsV3wZIDaPoVk1LGrLY/entrepreneurfirst","https://i.tracxn.com/logo/company/Screenshot_2026-03-25_052053_ec98e9a9-8541-4a20-8ec7-db741b1820f8.png?devicePixelRatio=1&format=webp&height=14&width=14","366","Deliveroo, Cleo AI","San Francisco","Incubators","Enterprise Applications
High Tech","2011","Jay Shah","","","","64","","","hi@tracxn.com",""
"Liquid 2 Ventures","https://platform.tracxn.com/a/d/investor/3AwM0WOzEpdzP34z8zzq1gIjk52SoxWIjuiMmSkeQSI/liquid2ventures","https://i.tracxn.com/logo/company/4471e36ca557183759f7d45dd6762f8?devicePixelRatio=1&format=webp&height=14&width=14","354","Mercury, FanDuel","San Francisco","VC","Enterprise Applications
High Tech","2015","Qasar Younis","","","","70","","","",""
"M12","https://platform.tracxn.com/a/d/investor/TK5rhhc4-01TrNzRpVlp94y2aX2pU4NX48VJQmFoFVM/m12","https://i.tracxn.com/logo/company/M2_978a231d-80af-4ca2-809f-0665889002af.png?devicePixelRatio=1&format=webp&height=14&width=14","354","CloudFlare, BlueVine","San Francisco","VC","Enterprise Applications
High Tech","2016","Cat Knoerr","","","","76","","","hi@tracxn.com",""
"Upfront Ventures","https://platform.tracxn.com/a/d/investor/Ifu5pEoxJEzFKxM05lQX4RhqT9VB0-S9vxok5kNVSLo/upfrontventures","https://i.tracxn.com/logo/company/Selection_999(241)_1581417704262.png?devicePixelRatio=1&format=webp&height=14&width=14","352","Bird, GoodRx","Los Angeles","VC","Enterprise Applications
Consumer","1996","Nina Sen","","","","73","","","hi@tracxn.com",""
"Foundry","https://platform.tracxn.com/a/d/investor/dqSYPhCbyUgY2Yc5b6XRbhMPz4XSQ5U4ICufMta7sKM/foundry","https://i.tracxn.com/logo/company/foundry.vc_Logo_9b6c6d47-fb39-400d-ad50-c6d40ae74a67.jpg?devicePixelRatio=1&format=webp&height=14&width=14","351","Rover, Zynga","Boulder","VC","Enterprise Applications
Consumer","2007","Seth Levine","","","","64","","","hi@tracxn.com",""
"Dreamit","https://platform.tracxn.com/a/d/investor/up-h6fQaiYgaC5Y_oD0I6GCncQK9_CMaK239fRIBOP0/dreamit","https://i.tracxn.com/logo/company/Selection_999(813)_1584094073571.png?devicePixelRatio=1&format=webp&height=14&width=14","351","Headout, SeatGeek","New York City","Incubators","Enterprise Applications
HealthTech","2008","Rudy Wolfs","","","","55","","","",""
"Soma Capital","https://platform.tracxn.com/a/d/investor/tgqyHgevpzz8E2TbtiNYF3OBJUvnP2EWBucacyyRkrw/somacapital","https://i.tracxn.com/logo/company/SC_af95108b-186a-42f1-9369-4b05f73c2e84.png?devicePixelRatio=1&format=webp&height=14&width=14","350","Razorpay, Ramp","San Francisco","VC","Enterprise Applications
FinTech","2015","David Frayer","","","","64","","","",""
"Village Capital","https://platform.tracxn.com/a/d/investor/1sYTRGLaCTyTd2zn4rS004c9Gq5i3wDhta01IjJ2ncA/villagecapital","https://i.tracxn.com/logo/company/SpLtXEAY_400x400.png1503406117081?devicePixelRatio=1&format=webp&height=14&width=14","349","Snapmint, Kaiser Permanente","Washington, DC","Incubators
Social Impact Funds","Enterprise Applications
FinTech","2009","Peter Lundquist","","","","58","","","hi@tracxn.com",""
"Endeavor","https://platform.tracxn.com/a/d/investor/W-UmH897_CJhDIUf0498AwDdLDU5_-uU_9uW9svj3O8/endeavor","https://i.tracxn.com/logo/company/8e49d9b7a21f263d0a12e46584653f5?devicePixelRatio=1&format=webp&height=14&width=14","346","Glovo, Brex","New York City","Incubators
VC","Enterprise Applications
Consumer","1997","Alex Crosby","","","","84","","","hi@tracxn.com",""
"Gener8tor","https://platform.tracxn.com/a/d/investor/EyrkssnRABRUrbArVt-GCFrGPVx9lHFhiYTlW-hmPbk/gener8tor","https://i.tracxn.com/logo/company/ffb81fdf70413eaa244381da81d2b3?devicePixelRatio=1&format=webp&height=14&width=14","345","Spotify, Provi","Madison","Incubators","Enterprise Applications
Consumer","2012","John Benzick","","","","54","","","hi@tracxn.com",""
"Goodwater Capital","https://platform.tracxn.com/a/d/investor/MwiRKfUBl7LFofmqzXmLK9zduOkkJghe-FK-DpCYQQM/goodwatercapital","https://i.tracxn.com/logo/company/59f0e6c528e4c72270f513716bb68ea1?devicePixelRatio=1&format=webp&height=14&width=14","342","Facebook, Spotify","Burlingame","VC","Consumer
FinTech","2014","Jon Mcneill","","","","82","","","",""
"Northzone","https://platform.tracxn.com/a/d/investor/7FWKIhQvFdlbBOabPnaFPVMw4x4_7R3JdJiYCl1IS4A/northzone","https://i.tracxn.com/logo/company/79a9a3e5a3c7bc25eae97ab21a3f4219?devicePixelRatio=1&format=webp&height=14&width=14","339","Spotify, Klarna","New York City","VC","Enterprise Applications
Consumer","1996","Marc Jacobs","","","","75","","","hi@tracxn.com",""
"Uncork Capital","https://platform.tracxn.com/a/d/investor/p4F-9ijHPgxOrvYMsJRTKA0v-eiEyJfU2FfvxSX0YEE/uncorkcapital","https://i.tracxn.com/logo/company/Selection_657.png1518612132409?devicePixelRatio=1&format=webp&height=14&width=14","337","Facebook, Eventbrite","Palo Alto","VC","Enterprise Applications
Consumer","2004","Jeff Clavier","","","","77","","","hi@tracxn.com",""
"InterWest Partners","https://platform.tracxn.com/a/d/investor/grul67qmhD1FZRed66Rq6hkcLmD2GvvtdxVTkHTOIws/interwestpartners","https://i.tracxn.com/logo/company/22c6b530a6466dcc382964a2a85f5f0?devicePixelRatio=1&format=webp&height=14&width=14","335","Workday, Canva","Los Altos","VC","Life Sciences
Enterprise Applications","1979","Khaled Nasr","","","","66","","","",""
"Comcast Ventures","https://platform.tracxn.com/a/d/investor/XMbrvGxXtqT82Sdq9IWu32nlOOFirpsVV33BqzVWPMk/comcastventures","https://i.tracxn.com/logo/company/6f19117edabbdf25e2338fc7f695b39d?devicePixelRatio=1&format=webp&height=14&width=14","335","Slack, Lyft","San Francisco","VC","Enterprise Applications
Consumer","1999","Andre Iguodala","","","","85","","","hi@tracxn.com",""
"Sapphire Ventures","https://platform.tracxn.com/a/d/investor/L7WRcQl_GJgB1EZj8c2iXQt9WXurUqC3sFgKArpEYy0/sapphireventures","https://i.tracxn.com/logo/company/Selection_804_1578306410825.png?devicePixelRatio=1&format=webp&height=14&width=14","334","Square, Paytm","Austin","VC
Social Impact Funds","Enterprise Applications
Enterprise Infrastructure","1996","Paul Levine","","","","89","","","",""
"Y Combinator","https://platform.tracxn.com/a/d/investor/52c06af4e4b09a1f9f132c8b/ycombinator#a:key-metrics","https://s3.amazonaws.com/tracxn-homepage-screenshots/domain/1fold/httpswwwycombinatorcom_QdTTUFqsdjx2JYkcr_ll9.jpeg","731","Groww, Brex, Stripe, Instawork, Plume","Mountain View","VC
Incubators","Enterprise Applications","2005","David Lieb","","","","91","","https://twitter.com/ycombinator","hi@tracxn.com",""
"Y Combinator","https://platform.tracxn.com/a/d/investor/52c06af4e4b09a1f9f132c8b/ycombinator#a:key-metrics","https://s3.amazonaws.com/tracxn-homepage-screenshots/domain/1fold/httpswwwycombinatorcom_QdTTUFqsdjx2JYkcr_ll9.jpeg","731","Groww, Brex, Stripe, Instawork, Plume","Mountain View","VC
Incubators","Enterprise Applications","2005","David Lieb","","","","91","","https://facebook.com/ycombinator","hi@tracxn.com",""
"Y Combinator","https://platform.tracxn.com/a/d/investor/52c06af4e4b09a1f9f132c8b/ycombinator#a:key-metrics","https://s3.amazonaws.com/tracxn-homepage-screenshots/domain/1fold/httpswwwycombinatorcom_QdTTUFqsdjx2JYkcr_ll9.jpeg","731","Groww, Brex, Stripe, Instawork","Mountain View","VC
Incubators","Enterprise Applications","2005","David Lieb","","","","91","","https://twitter.com/ycombinator","hi@tracxn.com",""
"Y Combinator","","","","","","Incubators","","","","","","","","","","",""
"Y Combinator","","","","","","Incubators","","","","","","","","","","",""
"Y Combinator","https://platform.tracxn.com/a/d/investor/52c06af4e4b09a1f9f132c8b/ycombinator#a:key-metrics","https://cdn.tracxn.com/images/static/tracxn-logo-full-100x22.svg","","","","Incubators","","","","","","","","","","hi@tracxn.com",""
"Y Combinator","","","","","","VC
Incubators","","2005","","","","","","","","",""
